jira_id,pr_id,jira_description,pr_description,lines_added,lines_deleted,files_changed,comment_count,similarity_score
PROJ-1011,PR-1011,Resolve SQL injection issue in logger module,Fixed SQL injection in logger module,104,71,"['src/auth/utils.py', 'tests/test_email.py', 'tests/test_logger.py', 'tests/test_file.py']",5,0.9452263
PROJ-1012,PR-1012,Resolve session expiry issue in user module,Fixed session expiry in user module,131,18,"['src/database/queries.py', 'tests/test_file.py', 'src/user/models.py', 'src/file/uploader.py']",5,0.9502952
PROJ-1013,PR-1013,Implement email notifications API endpoint using Elasticsearch,Added email notifications API endpoint with Elasticsearch,104,13,"['tests/test_api.py', 'src/logger/logger.py']",9,0.9590124
PROJ-1013,PR-1189,Implement email notifications API endpoint using Elasticsearch,Fixed CSV parsing in email module,123,5,"['tests/test_api.py', 'src/user/models.py', 'tests/test_auth.py', 'tests/test_email.py', 'tests/test_user.py']",1,0.25572112
PROJ-1014,PR-1014,Implement user authentication API endpoint using smtplib,Added user authentication API endpoint with smtplib,130,15,"['src/file/uploader.py', 'tests/test_api.py']",15,0.95221674
PROJ-1015,PR-1015,Resolve CSV parsing issue in file module,Fixed CSV parsing in file module,20,81,"['tests/test_email.py', 'tests/test_pipeline.py']",18,0.93534625
PROJ-1016,PR-1016,Resolve session expiry issue in logger module,Fixed session expiry in logger module,17,62,"['tests/test_database.py', 'tests/test_logger.py', 'src/auth/auth.py', 'src/file/uploader.py', 'src/database/models.py']",2,0.9495507
PROJ-1017,PR-1017,Implement password reset API endpoint using smtplib,Added password reset API endpoint with smtplib,168,74,"['src/logger/logger.py', 'tests/test_email.py', 'src/database/models.py', 'src/auth/utils.py', 'src/search/index.py']",13,0.95721257
PROJ-1018,PR-1018,Implement password reset API endpoint using JWT,Added password reset API endpoint with JWT,65,37,['src/api/views.py'],6,0.9563129
PROJ-1019,PR-1019,Implement email notifications API endpoint using smtplib,Added email notifications API endpoint with smtplib,43,62,"['src/logger/logger.py', 'tests/test_pipeline.py']",6,0.95016724
PROJ-1020,PR-1020,Implement Redis caching API endpoint using smtplib,Added Redis caching API endpoint with smtplib,114,49,"['tests/test_user.py', 'tests/test_file.py', 'tests/test_pipeline.py', 'src/api/views.py', 'src/user/models.py']",3,0.962519
PROJ-1021,PR-1021,Resolve session expiry issue in email module,Fixed session expiry in email module,155,70,"['src/logger/logger.py', 'tests/test_search.py']",7,0.9601321
PROJ-1022,PR-1022,Resolve null API responses issue in search module,Fixed null API responses in search module,109,72,"['src/auth/auth.py', 'src/database/models.py', 'tests/test_search.py', 'src/api/views.py']",7,0.96510553
PROJ-1023,PR-1023,Implement Redis caching API endpoint using Elasticsearch,Added Redis caching API endpoint with Elasticsearch,15,68,['src/pipeline/processor.py'],3,0.9623204
PROJ-1024,PR-1024,Implement search pagination API endpoint using Elasticsearch,Added search pagination API endpoint with Elasticsearch,11,8,"['tests/test_user.py', 'tests/test_file.py', 'src/pipeline/processor.py', 'src/logger/logger.py']",10,0.9592186
PROJ-1025,PR-1025,Resolve CSV parsing issue in search module,Fixed CSV parsing in search module,15,11,"['src/auth/utils.py', 'src/email/sender.py', 'tests/test_file.py', 'tests/test_email.py', 'src/auth/auth.py']",3,0.94432074
PROJ-1026,PR-1026,Resolve null API responses issue in logger module,Fixed null API responses in logger module,26,79,"['src/auth/auth.py', 'tests/test_user.py']",1,0.95745605
PROJ-1027,PR-1027,Implement user authentication API endpoint using Elasticsearch,Added user authentication API endpoint with Elasticsearch,51,10,['src/api/views.py'],7,0.9477899
PROJ-1028,PR-1028,Improve API performance performance using Memcached,Minor updates to README and cleanup in unrelated modules,89,75,['src/email/sender.py'],9,0.171957
PROJ-1029,PR-1029,Improve file uploads performance using asyncio,Enhanced file uploads with asyncio for better performance,29,52,['tests/test_api.py'],14,0.9644438
PROJ-1030,PR-1030,Implement email notifications API endpoint using Elasticsearch,Added email notifications API endpoint with Elasticsearch,166,19,"['tests/test_auth.py', 'tests/test_api.py', 'src/search/index.py', 'tests/test_search.py']",6,0.9590124
PROJ-1031,PR-1031,Resolve SQL injection issue in database module,Fixed SQL injection in database module,178,82,"['src/pipeline/processor.py', 'src/logger/logger.py']",15,0.91793716
PROJ-1032,PR-1032,Implement user authentication API endpoint using Elasticsearch,Added user authentication API endpoint with Elasticsearch,171,17,"['src/database/models.py', 'src/auth/utils.py', 'tests/test_api.py', 'tests/test_search.py']",16,0.9477899
PROJ-1033,PR-1033,Resolve SQL injection issue in database module,Fixed SQL injection in database module,21,11,"['tests/test_auth.py', 'src/logger/logger.py', 'tests/test_logger.py', 'src/database/queries.py']",20,0.91793716
PROJ-1033,PR-1485,Resolve SQL injection issue in database module,Fixed null API responses in search module,30,79,"['tests/test_file.py', 'src/logger/logger.py']",10,0.1775732
PROJ-1034,PR-1034,Resolve null API responses issue in file module,Fixed null API responses in file module,99,20,"['tests/test_pipeline.py', 'src/email/sender.py']",9,0.9627616
PROJ-1036,PR-1036,Implement user authentication API endpoint using smtplib,Added user authentication API endpoint with smtplib,50,64,['tests/test_file.py'],9,0.95221674
PROJ-1037,PR-1037,Improve file uploads performance using Memcached,Enhanced file uploads with Memcached for better performance,180,98,"['src/logger/logger.py', 'src/pipeline/processor.py', 'tests/test_auth.py', 'src/auth/auth.py']",6,0.9463666
PROJ-1038,PR-1038,Implement search pagination API endpoint using smtplib,Added search pagination API endpoint with smtplib,10,96,"['tests/test_user.py', 'src/user/models.py', 'tests/test_pipeline.py', 'src/email/sender.py', 'tests/test_email.py']",6,0.9715265
PROJ-1039,PR-1039,Improve data pipeline performance using asyncio,Enhanced data pipeline with asyncio for better performance,173,93,"['tests/test_api.py', 'tests/test_auth.py', 'tests/test_email.py', 'src/search/index.py', 'src/auth/auth.py']",20,0.96890056
PROJ-1040,PR-1040,Resolve CSV parsing issue in api module,Fixed CSV parsing in api module,95,5,['src/email/sender.py'],17,0.9438577
PROJ-1041,PR-1041,Improve query execution performance using NumPy,Enhanced query execution with NumPy for better performance,177,52,"['src/database/models.py', 'tests/test_search.py', 'tests/test_file.py']",15,0.9513643
PROJ-1042,PR-1042,Implement password reset API endpoint using Redis,Added password reset API endpoint with Redis,77,5,"['src/database/queries.py', 'tests/test_database.py', 'src/database/models.py']",16,0.9580153
PROJ-1043,PR-1043,Resolve database timeouts issue in logger module,Fixed database timeouts in logger module,146,63,['src/user/models.py'],5,0.9720838
PROJ-1044,PR-1044,Resolve CSV parsing issue in database module,Fixed CSV parsing in database module,176,12,"['src/api/views.py', 'tests/test_user.py', 'src/logger/logger.py', 'src/database/queries.py']",19,0.9352654
PROJ-1045,PR-1045,Improve data pipeline performance using NumPy,Enhanced data pipeline with NumPy for better performance,110,64,['src/auth/utils.py'],18,0.94986725
PROJ-1046,PR-1046,Improve API performance performance using Memcached,Enhanced API performance with Memcached for better performance,67,23,"['tests/test_search.py', 'src/logger/logger.py']",10,0.9682945
PROJ-1047,PR-1047,Improve query execution performance using multiprocessing,Enhanced query execution with multiprocessing for better performance,182,21,"['src/email/sender.py', 'src/logger/logger.py']",14,0.9474199
PROJ-1048,PR-1048,Implement password reset API endpoint using Redis,Added password reset API endpoint with Redis,109,87,"['tests/test_search.py', 'src/database/models.py', 'tests/test_email.py', 'tests/test_logger.py']",20,0.9580153
PROJ-1049,PR-1049,Improve query execution performance using multiprocessing,Enhanced query execution with multiprocessing for better performance,29,7,"['src/file/uploader.py', 'src/search/index.py', 'tests/test_file.py', 'tests/test_pipeline.py', 'tests/test_auth.py']",2,0.9474199
PROJ-1050,PR-1050,Improve query execution performance using NumPy,Enhanced query execution with NumPy for better performance,130,18,"['tests/test_auth.py', 'src/file/uploader.py', 'src/auth/auth.py', 'tests/test_email.py']",12,0.9513643
PROJ-1051,PR-1051,Resolve database timeouts issue in auth module,Fixed database timeouts in auth module,29,18,"['tests/test_database.py', 'src/file/uploader.py']",5,0.97560143
PROJ-1053,PR-1053,Resolve CSV parsing issue in user module,Fixed CSV parsing in user module,37,79,"['tests/test_user.py', 'src/database/queries.py', 'src/logger/logger.py']",9,0.94997025
PROJ-1054,PR-1054,Improve data pipeline performance using asyncio,Enhanced data pipeline with asyncio for better performance,103,65,"['src/user/models.py', 'tests/test_api.py', 'src/search/index.py', 'src/pipeline/processor.py', 'tests/test_logger.py']",18,0.9689003
PROJ-1055,PR-1055,Implement search pagination API endpoint using JWT,Added search pagination API endpoint with JWT,51,21,"['tests/test_database.py', 'tests/test_pipeline.py', 'tests/test_api.py', 'src/user/models.py', 'tests/test_email.py']",5,0.97025126
PROJ-1056,PR-1056,Resolve CSV parsing issue in search module,Fixed CSV parsing in search module,36,84,['src/logger/logger.py'],1,0.94432074
PROJ-1057,PR-1057,Implement Redis caching API endpoint using Redis,Added Redis caching API endpoint with Redis,45,27,['src/user/models.py'],5,0.9495712
PROJ-1058,PR-1058,Resolve null API responses issue in pipeline module,Fixed null API responses in pipeline module,168,87,"['src/email/sender.py', 'src/api/views.py', 'src/logger/logger.py', 'src/auth/utils.py']",13,0.95752263
PROJ-1059,PR-1059,Improve file uploads performance using JSONFormatter,Enhanced file uploads with JSONFormatter for better performance,58,75,"['src/logger/logger.py', 'src/database/queries.py', 'tests/test_file.py', 'tests/test_database.py', 'tests/test_auth.py']",9,0.9657508
PROJ-1060,PR-1060,Resolve null API responses issue in logger module,Fixed null API responses in logger module,170,93,"['src/email/sender.py', 'src/pipeline/processor.py', 'src/user/models.py']",19,0.95745605
PROJ-1060,PR-1366,Resolve null API responses issue in logger module,Fixed CSV parsing in file module,11,69,"['src/search/index.py', 'tests/test_file.py']",15,0.12342929
PROJ-1061,PR-1061,Resolve CSV parsing issue in search module,Fixed CSV parsing in search module,99,5,"['tests/test_user.py', 'src/file/uploader.py', 'src/database/queries.py', 'src/user/models.py', 'tests/test_database.py']",12,0.94432074
PROJ-1062,PR-1062,Improve data pipeline performance using NumPy,Enhanced data pipeline with NumPy for better performance,101,88,['tests/test_auth.py'],2,0.94986725
PROJ-1063,PR-1063,Implement password reset API endpoint using JWT,Minor updates to README and cleanup in unrelated modules,70,78,"['tests/test_file.py', 'src/auth/utils.py', 'src/logger/logger.py', 'src/user/models.py', 'tests/test_pipeline.py']",11,0.06956811
PROJ-1064,PR-1064,Improve logging performance using asyncio,Enhanced logging with asyncio for better performance,109,48,"['src/database/models.py', 'src/pipeline/processor.py', 'tests/test_user.py', 'src/auth/utils.py', 'src/logger/logger.py']",19,0.96698475
PROJ-1065,PR-1065,Improve file uploads performance using Memcached,Enhanced file uploads with Memcached for better performance,81,79,"['tests/test_database.py', 'tests/test_email.py', 'src/email/sender.py', 'tests/test_auth.py', 'src/auth/utils.py']",20,0.9463666
PROJ-1066,PR-1066,Implement search pagination API endpoint using OAuth,Added search pagination API endpoint with OAuth,60,89,"['tests/test_logger.py', 'src/file/uploader.py', 'tests/test_user.py', 'src/api/views.py']",12,0.9672997
PROJ-1067,PR-1067,Resolve null API responses issue in search module,Fixed null API responses in search module,109,61,"['src/database/models.py', 'tests/test_user.py', 'src/auth/auth.py']",17,0.96510553
PROJ-1068,PR-1068,Improve file uploads performance using NumPy,Enhanced file uploads with NumPy for better performance,165,63,"['src/user/models.py', 'src/logger/logger.py', 'src/auth/auth.py', 'tests/test_user.py', 'tests/test_api.py']",3,0.93258727
PROJ-1069,PR-1069,Implement search pagination API endpoint using smtplib,Added search pagination API endpoint with smtplib,48,92,['src/database/queries.py'],12,0.9715265
PROJ-1070,PR-1070,Improve API performance performance using JSONFormatter,Enhanced API performance with JSONFormatter for better performance,112,81,"['src/user/models.py', 'src/auth/utils.py']",3,0.9698429
PROJ-1071,PR-1071,Implement search pagination API endpoint using OAuth,Added search pagination API endpoint with OAuth,97,32,"['tests/test_api.py', 'tests/test_pipeline.py']",15,0.9672997
PROJ-1072,PR-1072,Improve data pipeline performance using asyncio,Enhanced data pipeline with asyncio for better performance,182,63,['tests/test_user.py'],2,0.9689003
PROJ-1073,PR-1073,Improve query execution performance using asyncio,Enhanced query execution with asyncio for better performance,110,86,"['src/auth/auth.py', 'src/logger/logger.py', 'src/auth/utils.py', 'src/file/uploader.py']",4,0.96850383
PROJ-1074,PR-1074,Implement search pagination API endpoint using Redis,Added search pagination API endpoint with Redis,42,58,"['tests/test_logger.py', 'src/auth/auth.py', 'src/user/models.py', 'src/file/uploader.py']",12,0.96987855
PROJ-1075,PR-1075,Resolve CSV parsing issue in user module,Fixed CSV parsing in user module,99,71,['src/file/uploader.py'],4,0.94997025
PROJ-1076,PR-1076,Resolve CSV parsing issue in auth module,Fixed CSV parsing in auth module,94,99,"['tests/test_search.py', 'tests/test_email.py']",9,0.952229
PROJ-1077,PR-1077,Resolve null API responses issue in email module,Fixed null API responses in email module,104,79,['src/user/models.py'],5,0.9569799
PROJ-1078,PR-1078,Improve logging performance using NumPy,Enhanced logging with NumPy for better performance,115,88,"['tests/test_database.py', 'src/api/views.py', 'src/file/uploader.py']",18,0.962981
PROJ-1079,PR-1079,Implement user authentication API endpoint using smtplib,Added user authentication API endpoint with smtplib,134,66,"['src/auth/utils.py', 'src/database/models.py', 'src/user/models.py']",8,0.95221674
PROJ-1080,PR-1080,Resolve session expiry issue in file module,Fixed session expiry in file module,185,43,"['tests/test_logger.py', 'tests/test_file.py', 'src/email/sender.py']",8,0.9591682
PROJ-1081,PR-1081,Improve query execution performance using multiprocessing,Enhanced query execution with multiprocessing for better performance,68,58,"['tests/test_search.py', 'src/auth/utils.py', 'tests/test_api.py', 'src/email/sender.py']",4,0.9474199
PROJ-1082,PR-1082,Improve data pipeline performance using JSONFormatter,Enhanced data pipeline with JSONFormatter for better performance,182,47,['src/auth/auth.py'],17,0.9657588
PROJ-1083,PR-1083,Improve file uploads performance using multiprocessing,Enhanced file uploads with multiprocessing for better performance,123,56,"['tests/test_logger.py', 'src/pipeline/processor.py', 'tests/test_api.py']",7,0.93547964
PROJ-1084,PR-1084,Resolve session expiry issue in api module,Fixed session expiry in api module,76,51,"['tests/test_api.py', 'src/search/index.py']",4,0.95596325
PROJ-1085,PR-1085,Resolve SQL injection issue in email module,Fixed SQL injection in email module,158,47,['tests/test_auth.py'],1,0.9446541
PROJ-1086,PR-1086,Improve query execution performance using multiprocessing,Enhanced query execution with multiprocessing for better performance,168,70,['src/email/sender.py'],10,0.9474199
PROJ-1087,PR-1087,Implement user authentication API endpoint using JWT,Added user authentication API endpoint with JWT,154,82,"['tests/test_database.py', 'tests/test_pipeline.py', 'src/database/queries.py', 'src/pipeline/processor.py', 'tests/test_email.py']",10,0.9331681
PROJ-1088,PR-1088,Improve logging performance using multiprocessing,Enhanced logging with multiprocessing for better performance,138,94,"['tests/test_auth.py', 'src/search/index.py', 'tests/test_file.py', 'tests/test_user.py']",0,0.9587691
PROJ-1089,PR-1089,Resolve CSV parsing issue in logger module,Fixed CSV parsing in logger module,125,15,"['tests/test_pipeline.py', 'tests/test_api.py']",14,0.95414954
PROJ-1090,PR-1090,Implement user authentication API endpoint using JWT,Added user authentication API endpoint with JWT,25,78,['src/logger/logger.py'],13,0.9331681
PROJ-1091,PR-1091,Improve file uploads performance using Memcached,Minor updates to README and cleanup in unrelated modules,26,93,['src/database/models.py'],6,0.14732629
PROJ-1092,PR-1092,Resolve session expiry issue in pipeline module,Minor updates to README and cleanup in unrelated modules,63,39,"['src/user/models.py', 'src/logger/logger.py', 'tests/test_database.py', 'src/auth/auth.py']",15,0.16807814
PROJ-1093,PR-1093,Improve query execution performance using JSONFormatter,Enhanced query execution with JSONFormatter for better performance,33,92,"['src/database/queries.py', 'tests/test_pipeline.py']",19,0.9652349
PROJ-1094,PR-1094,Resolve SQL injection issue in user module,Fixed SQL injection in user module,121,12,"['tests/test_logger.py', 'src/file/uploader.py', 'src/database/models.py', 'src/logger/logger.py', 'tests/test_api.py']",3,0.9435452
PROJ-1095,PR-1095,Resolve session expiry issue in user module,Fixed session expiry in user module,200,79,"['src/auth/utils.py', 'src/api/views.py', 'tests/test_user.py']",13,0.9502952
PROJ-1096,PR-1096,Resolve CSV parsing issue in database module,Fixed CSV parsing in database module,31,55,"['tests/test_database.py', 'tests/test_api.py', 'src/pipeline/processor.py', 'tests/test_pipeline.py', 'src/file/uploader.py']",10,0.9352654
PROJ-1097,PR-1097,Improve query execution performance using asyncio,Enhanced query execution with asyncio for better performance,130,6,['tests/test_file.py'],9,0.96850383
PROJ-1098,PR-1098,Improve data pipeline performance using JSONFormatter,Enhanced data pipeline with JSONFormatter for better performance,25,61,"['tests/test_pipeline.py', 'src/api/views.py', 'tests/test_user.py', 'src/user/models.py']",8,0.9657588
PROJ-1099,PR-1099,Resolve database timeouts issue in file module,Fixed database timeouts in file module,159,91,"['src/auth/auth.py', 'src/file/uploader.py']",19,0.97397155
PROJ-1100,PR-1100,Improve file uploads performance using multiprocessing,Minor updates to README and cleanup in unrelated modules,78,69,['src/database/queries.py'],3,0.15949437
PROJ-1101,PR-1101,Implement search pagination API endpoint using OAuth,Added search pagination API endpoint with OAuth,44,47,"['src/user/models.py', 'src/search/index.py', 'tests/test_file.py', 'tests/test_api.py', 'src/email/sender.py']",19,0.9672997
PROJ-1102,PR-1102,Improve data pipeline performance using Memcached,Enhanced data pipeline with Memcached for better performance,101,96,['tests/test_api.py'],0,0.95660865
PROJ-1103,PR-1103,Implement Redis caching API endpoint using Elasticsearch,Added Redis caching API endpoint with Elasticsearch,60,8,"['tests/test_api.py', 'src/search/index.py', 'src/auth/utils.py', 'tests/test_auth.py', 'tests/test_user.py']",0,0.9623204
PROJ-1104,PR-1104,Resolve SQL injection issue in pipeline module,Fixed SQL injection in pipeline module,118,98,['src/search/index.py'],12,0.92271066
PROJ-1105,PR-1105,Implement email notifications API endpoint using JWT,Added email notifications API endpoint with JWT,92,95,"['src/email/sender.py', 'tests/test_email.py', 'tests/test_api.py', 'tests/test_logger.py', 'tests/test_search.py']",19,0.9478601
PROJ-1106,PR-1106,Improve logging performance using NumPy,Enhanced logging with NumPy for better performance,81,73,"['tests/test_auth.py', 'src/api/views.py', 'tests/test_database.py', 'src/auth/auth.py']",18,0.962981
PROJ-1107,PR-1107,Improve API performance performance using asyncio,Enhanced API performance with asyncio for better performance,52,69,"['src/auth/utils.py', 'tests/test_pipeline.py', 'tests/test_search.py']",8,0.97024584
PROJ-1108,PR-1108,Resolve session expiry issue in email module,Fixed session expiry in email module,36,71,"['tests/test_email.py', 'src/database/queries.py', 'tests/test_search.py', 'tests/test_database.py']",10,0.9601321
PROJ-1109,PR-1109,Improve data pipeline performance using multiprocessing,Enhanced data pipeline with multiprocessing for better performance,82,67,"['src/logger/logger.py', 'src/email/sender.py', 'src/database/models.py', 'src/search/index.py']",19,0.95579195
PROJ-1110,PR-1110,Implement email notifications API endpoint using Elasticsearch,Added email notifications API endpoint with Elasticsearch,146,9,"['tests/test_api.py', 'src/auth/auth.py']",12,0.9590124
PROJ-1111,PR-1111,Resolve SQL injection issue in auth module,Fixed SQL injection in auth module,139,49,"['src/email/sender.py', 'src/logger/logger.py']",9,0.94675475
PROJ-1112,PR-1112,Resolve session expiry issue in search module,Fixed session expiry in search module,75,83,"['tests/test_api.py', 'src/database/models.py', 'src/search/index.py', 'tests/test_auth.py']",1,0.96001196
PROJ-1113,PR-1113,Improve API performance performance using JSONFormatter,Enhanced API performance with JSONFormatter for better performance,36,62,"['tests/test_database.py', 'tests/test_email.py', 'src/api/views.py', 'src/auth/auth.py']",10,0.9698429
PROJ-1114,PR-1114,Implement password reset API endpoint using OAuth,Added password reset API endpoint with OAuth,150,47,"['src/database/models.py', 'tests/test_pipeline.py']",13,0.93425876
PROJ-1115,PR-1115,Resolve null API responses issue in search module,Fixed null API responses in search module,20,84,"['src/pipeline/processor.py', 'src/auth/utils.py', 'tests/test_user.py', 'tests/test_pipeline.py', 'src/file/uploader.py']",9,0.96510553
PROJ-1116,PR-1116,Implement email notifications API endpoint using JWT,Added email notifications API endpoint with JWT,195,19,"['tests/test_auth.py', 'tests/test_database.py']",6,0.9478601
PROJ-1117,PR-1117,Resolve null API responses issue in email module,Fixed null API responses in email module,136,52,"['tests/test_auth.py', 'tests/test_logger.py', 'src/file/uploader.py', 'tests/test_pipeline.py', 'src/logger/logger.py']",8,0.9569799
PROJ-1118,PR-1118,Implement user authentication API endpoint using Redis,Added user authentication API endpoint with Redis,115,48,"['tests/test_logger.py', 'tests/test_pipeline.py', 'src/database/models.py', 'src/api/views.py', 'tests/test_api.py']",17,0.9395503
PROJ-1119,PR-1119,Resolve null API responses issue in file module,Fixed null API responses in file module,107,69,"['src/api/views.py', 'tests/test_database.py', 'tests/test_api.py', 'src/user/models.py']",11,0.9627614
PROJ-1120,PR-1120,Resolve CSV parsing issue in pipeline module,Fixed CSV parsing in pipeline module,64,16,"['src/api/views.py', 'src/user/models.py']",20,0.94635653
PROJ-1121,PR-1121,Improve file uploads performance using NumPy,Enhanced file uploads with NumPy for better performance,61,42,"['src/auth/utils.py', 'src/database/queries.py', 'tests/test_api.py', 'tests/test_user.py', 'tests/test_email.py']",14,0.93258727
PROJ-1122,PR-1122,Implement email notifications API endpoint using smtplib,Added email notifications API endpoint with smtplib,55,81,"['tests/test_search.py', 'src/file/uploader.py', 'tests/test_file.py', 'src/api/views.py', 'tests/test_user.py']",13,0.95016724
PROJ-1123,PR-1123,Improve API performance performance using JSONFormatter,Enhanced API performance with JSONFormatter for better performance,194,62,"['src/user/models.py', 'tests/test_api.py', 'src/database/models.py']",16,0.9698429
PROJ-1124,PR-1124,Resolve database timeouts issue in logger module,Fixed database timeouts in logger module,109,11,['tests/test_api.py'],7,0.9720838
PROJ-1125,PR-1125,Improve API performance performance using asyncio,Enhanced API performance with asyncio for better performance,169,66,"['src/email/sender.py', 'tests/test_pipeline.py', 'src/search/index.py']",7,0.97024584
PROJ-1126,PR-1126,Improve API performance performance using NumPy,Enhanced API performance with NumPy for better performance,75,58,"['src/database/queries.py', 'src/auth/utils.py', 'src/pipeline/processor.py', 'tests/test_api.py']",13,0.9596853
PROJ-1127,PR-1127,Improve data pipeline performance using JSONFormatter,Enhanced data pipeline with JSONFormatter for better performance,133,89,['src/user/models.py'],9,0.9657588
PROJ-1128,PR-1128,Implement Redis caching API endpoint using OAuth,Added Redis caching API endpoint with OAuth,200,73,"['src/pipeline/processor.py', 'tests/test_user.py', 'tests/test_database.py', 'src/file/uploader.py']",5,0.9593353
PROJ-1129,PR-1129,Improve logging performance using asyncio,Enhanced logging with asyncio for better performance,121,68,['tests/test_auth.py'],6,0.96698475
PROJ-1130,PR-1130,Implement email notifications API endpoint using Redis,Added email notifications API endpoint with Redis,64,88,"['tests/test_auth.py', 'tests/test_logger.py', 'src/search/index.py']",16,0.95010495
PROJ-1131,PR-1131,Improve query execution performance using Memcached,Enhanced query execution with Memcached for better performance,40,9,"['tests/test_database.py', 'src/auth/utils.py', 'src/api/views.py', 'tests/test_email.py', 'src/file/uploader.py']",2,0.94967175
PROJ-1132,PR-1132,Resolve database timeouts issue in auth module,Fixed database timeouts in auth module,165,28,['tests/test_pipeline.py'],11,0.97560143
PROJ-1133,PR-1133,Resolve session expiry issue in database module,Fixed session expiry in database module,31,20,"['src/auth/utils.py', 'tests/test_search.py', 'tests/test_logger.py', 'src/user/models.py', 'src/logger/logger.py']",10,0.94468904
PROJ-1134,PR-1134,Improve logging performance using NumPy,Enhanced logging with NumPy for better performance,140,31,"['tests/test_database.py', 'src/database/models.py', 'tests/test_api.py', 'tests/test_user.py']",7,0.962981
PROJ-1135,PR-1135,Resolve SQL injection issue in api module,Minor updates to README and cleanup in unrelated modules,50,67,"['tests/test_file.py', 'tests/test_pipeline.py', 'src/email/sender.py', 'src/api/views.py', 'src/database/models.py']",12,0.19150157
PROJ-1136,PR-1136,Improve logging performance using JSONFormatter,Enhanced logging with JSONFormatter for better performance,173,24,"['src/auth/utils.py', 'tests/test_auth.py', 'src/file/uploader.py', 'tests/test_database.py']",16,0.9625071
PROJ-1137,PR-1137,Implement email notifications API endpoint using OAuth,Added email notifications API endpoint with OAuth,22,41,"['tests/test_database.py', 'src/database/queries.py']",13,0.9329871
PROJ-1138,PR-1138,Implement password reset API endpoint using Redis,Added password reset API endpoint with Redis,174,71,"['tests/test_logger.py', 'src/pipeline/processor.py', 'src/database/models.py', 'src/user/models.py']",8,0.9580153
PROJ-1139,PR-1139,Resolve null API responses issue in user module,Fixed null API responses in user module,45,54,"['src/search/index.py', 'src/api/views.py', 'tests/test_api.py', 'tests/test_database.py', 'tests/test_search.py']",0,0.96137744
PROJ-1140,PR-1140,Improve data pipeline performance using NumPy,Enhanced data pipeline with NumPy for better performance,128,49,"['src/database/models.py', 'src/pipeline/processor.py']",10,0.94986725
PROJ-1141,PR-1141,Implement search pagination API endpoint using Redis,Added search pagination API endpoint with Redis,91,65,"['src/email/sender.py', 'src/auth/utils.py']",3,0.96987855
PROJ-1142,PR-1142,Resolve SQL injection issue in file module,Fixed SQL injection in file module,145,25,"['src/user/models.py', 'src/pipeline/processor.py', 'src/email/sender.py']",5,0.9471513
PROJ-1143,PR-1143,Improve file uploads performance using JSONFormatter,Enhanced file uploads with JSONFormatter for better performance,117,38,"['tests/test_search.py', 'src/api/views.py']",17,0.9657508
PROJ-1144,PR-1144,Implement email notifications API endpoint using OAuth,Added email notifications API endpoint with OAuth,168,45,"['tests/test_pipeline.py', 'src/logger/logger.py', 'tests/test_search.py']",3,0.9329871
PROJ-1145,PR-1145,Improve logging performance using Memcached,Enhanced logging with Memcached for better performance,13,15,['src/database/models.py'],9,0.95759255
PROJ-1146,PR-1146,Resolve CSV parsing issue in file module,Fixed CSV parsing in file module,139,80,['tests/test_auth.py'],1,0.93534607
